,,,,,,,,"Ministry of Health, Malawi",,,,,,,,,,,,,,Page 1,,,, of 379,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Reporting rate: 94%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMIS Summary by facility,,,,,,,,,,,,,,,,,,,,,,,,,,,
District:,,,,,,,Reporting Period:,,,,,,,,Program:,,,,,,,,,Report Run Date:,,,
All,,,,,,,Aug2026,,,,,,,,HIV,,,,,,,,,25 - Sep - 26,,,
Line #,Order Type,,District,Facility Code,,Facility Name,,,Facility Type,Facility Operator,Product Code,Product,,Unit of Issue,,Quantity Received,Quantity Issued,AMC,,Closing balance (SOH),,,Requested Quantity,,Total stockout days,,Total losses and adjustments
1,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",,Bottle,,0,0,0,,14,,,-,,0,,0
2,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF5022,"Dolutegravir (DTG), 50mg, pack of 30  tablets",,Bottle,,0,32,34,,16,,,-,,0,,0
3,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF5313,Isoniazid/Rifapentine 300/300mg pack of 36 tablets,,Tablets,,0,0,0,,324,,,-,,0,,0
4,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",,Bottle,,0,0,4,,11,,,-,,0,,0
5,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",,Bottle,,100,45,65,,155,,,-,,0,,0
6,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",,Bottle,,50,50,33,,54,,,-,,0,,0
7,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0011,"Zidovudine /Lamivudine(AZT/3TC), 300mg/150mg, pack of 60  tablets",,Bottle,,0,6,2,,14,,,-,,0,,0
8,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF5410,"Bioline HIV 1/2, Kit of 25 tests",,Test,,0,25,17,,0,,,-,,0,,0
9,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0868,"DBS Bundles, 70 microlitre, Pack of 50 Tests",,Test,,0,0,0,,300,,,-,,0,,0
10,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0325,"Determine Hepatitis B tests, pack of 100 tests",,Test,,0,200,100,,0,,,-,,0,,0
11,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",,Test,,0,0,59,,75,,,-,,0,,0
12,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",,Test,,0,20,20,,20,,,-,,0,,0
