Period,Order Type,District,Facility Code,Facility Name,Facility Type,Facility Operator,Product Code,Product,Category,Unit of Issue,Quantity Received,Quantity Issued,AMC,Closing balance (SOH),Requested Quantity,Total stockout days,Total losses and adjustments
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",ART,Bottle,0,0,0,14,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0570,"Atazanavir/Ritonavir (ATV/r), 300/100mg, pack of 30 tablets",ART,Bottle,0,0,0,28,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF5022,"Dolutegravir (DTG), 50mg, pack of 30  tablets",ART / PEP,Bottle,0,68,42,48,-,0,116
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",PrEP,Bottle,0,0,0,21,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",ART / PEP,Bottle,0,150,90,100,-,0,243
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",ART / PEP,Bottle,0,49,35,54,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0011,"Zidovudine /Lamivudine(AZT/3TC), 300mg/150mg, pack of 60  tablets",ART,Bottle,0,0,0,20,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF5410,"Bioline HIV 1/2, Kit of 25 tests",HIV Test,Test,0,25,13,25,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",HIV Test,Test,0,200,150,200,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",HIV Self-Test,Test,0,50,50,200,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",HIV Test,Test,0,40,20,40,-,0,0
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,GF5410,"Bioline HIV 1/2, Kit of 25 tests",HIV Test,Test,0,0,0,875,-,0,-50
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",HIV Test,Test,0,200,137,0,-,8,"-1,600"
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",HIV Self-Test,Test,0,0,0,50,-,0,0
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",HIV Test,Test,0,0,0,700,-,0,-100
01/06/2026,Normal,Zomba,ZA2768,Zomba city private clinic,Clinic,Private,GF5282,"Dolutegravir (DTG) dispersible, 10mg, pack of 90 dispersible tablets",ART / PEP,Bottle,0,0,0,4,-,0,0
01/06/2026,Normal,Zomba,ZA2768,Zomba city private clinic,Clinic,Private,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",PrEP,Bottle,0,15,8,0,-,0,0
01/06/2026,Normal,Zomba,ZA2768,Zomba city private clinic,Clinic,Private,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",ART / PEP,Bottle,0,68,42,0,-,0,0
01/06/2026,Normal,Zomba,ZA2768,Zomba city private clinic,Clinic,Private,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",ART / PEP,Bottle,0,0,9,63,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",ART,Bottle,0,0,1,6,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0570,"Atazanavir/Ritonavir (ATV/r), 300/100mg, pack of 30 tablets",ART,Bottle,0,7,4,7,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",PrEP,Bottle,0,13,7,12,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",ART / PEP,Bottle,0,105,65,57,-,0,-50
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",ART / PEP,Bottle,0,92,101,840,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",HIV Test,Test,0,"1,000",650,0,-,0,800
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",HIV Self-Test,Test,0,50,50,100,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",HIV Test,Test,0,0,10,0,-,30,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5118,"Abacavir/Lamivudine (ABC/3TC), 120/60mg, pack of 30 dispersible tablets",ART,Bottle,0,24,12,613,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",ART,Bottle,0,124,182,644,-,0,-104
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5672,"Abacavir/Lamivudine/Dolutegravir, 60/30/5 mg pack of 180 tablets",ART,Bottle,0,0,22,"1,249",-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0570,"Atazanavir/Ritonavir (ATV/r), 300/100mg, pack of 30 tablets",ART,Bottle,0,0,0,28,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5109,"Darunavir (DRV) 150mg, pack of 240 tablets",ART,Bottle,0,0,0,1,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF1104,"Darunavir (DRV) 600mg, pack of 60 tablets",ART,Bottle,0,16,19,4,-,0,-4
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5282,"Dolutegravir (DTG) dispersible, 10mg, pack of 90 dispersible tablets",ART / PEP,Bottle,0,0,0,271,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5022,"Dolutegravir (DTG), 50mg, pack of 30  tablets",ART / PEP,Bottle,0,336,312,380,-,0,-21
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0074,"Efavirenz (EFV), 200mg, pack of 90 tablets",ART,Bottle,0,0,0,20,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0063,"Efavirenz (EFV), 600mg pack of 30 tablets",ART,Bottle,0,0,0,63,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0076,"Lopinavir/Ritonavir (LPV/r), 100/25mg, pack of 60 tablets",ART,Bottle,0,0,0,44,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0812,"Nevirapine (NVP), 50mg/5ml, bottle of 100ml oral suspension",ART,Bottle,0,30,30,159,-,0,-40
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5163,"Ritonavir (r),100mg, pack of 30 tablets",ART,Bottle,0,21,26,9,-,0,-4
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",PrEP,Bottle,0,0,196,421,-,0,130
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",ART / PEP,Bottle,0,370,395,"3,395",-,0,-130
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",ART / PEP,Bottle,0,"3,578","2,578","4,632",-,0,-180
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5278,"Tenofovir Disoproxil Fumarate/Lamivudine/Efavirenz (TDF/3TC /EFV), 300/300/400mg, pack of 30 tablets (5A)",ART,Bottle,0,0,0,546,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0011,"Zidovudine /Lamivudine(AZT/3TC), 300mg/150mg, pack of 60  tablets",ART,Bottle,200,48,34,360,-,0,-44
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0071,"Zidovudine/Lamivudine (AZT/3TC), 60/30mg, pack of 60 dispersible tablets",ART,Bottle,0,0,0,103,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0230,"Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP), 60/30/50mg, pack of 60 dispersible tablets (2P)",ART,Bottle,0,16,8,504,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5410,"Bioline HIV 1/2, Kit of 25 tests",HIV Test,Test,0,75,75,375,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",HIV Test,Test,0,"1,600","2,000",100,-,0,200
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",HIV Self-Test,Test,0,450,525,"4,525",-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0941,Pima Bead standard,HIV Monitoring,Each,1,1,3,0,-,23,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,TBA14,Pima thermal paper,HIV Monitorin,Roll,0,0,0,90,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",HIV Test,Test,0,40,30,220,-,0,-60
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF5118,"Abacavir/Lamivudine (ABC/3TC), 120/60mg, pack of 30 dispersible tablets",ART,Bottle,0,0,0,5,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",ART,Bottle,0,0,0,10,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF5672,"Abacavir/Lamivudine/Dolutegravir, 60/30/5 mg pack of 180 tablets",ART,Bottle,0,0,0,39,-,0,39
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF5555,"Cabotegravir long Acting, 200mg/ml, 3ml.",PrEP,Vial,0,40,20,0,-,0,40
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF5282,"Dolutegravir (DTG) dispersible, 10mg, pack of 90 dispersible tablets",ART / PEP,Bottle,0,20,7,0,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF5022,"Dolutegravir (DTG), 50mg, pack of 30  tablets",ART / PEP,Bottle,0,0,0,30,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF0812,"Nevirapine (NVP), 50mg/5ml, bottle of 100ml oral suspension",ART,Bottle,0,0,0,10,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",PrEP,Bottle,0,0,0,"2,157",-,0,"2,157"
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",ART / PEP,Bottle,0,40,35,104,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",ART / PEP,Bottle,0,51,51,113,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF0011,"Zidovudine /Lamivudine(AZT/3TC), 300mg/150mg, pack of 60  tablets",ART,Bottle,0,0,3,1,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF0071,"Zidovudine/Lamivudine (AZT/3TC), 60/30mg, pack of 60 dispersible tablets",ART,Bottle,0,0,0,20,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF0230,"Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP), 60/30/50mg, pack of 60 dispersible tablets (2P)",ART,Bottle,0,0,0,16,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF5410,"Bioline HIV 1/2, Kit of 25 tests",HIV Test,Test,0,0,0,25,-,0,25
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",HIV Test,Test,0,300,200,300,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",HIV Self-Test,Test,0,400,288,50,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",HIV Test,Test,0,20,10,20,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF5118,"Abacavir/Lamivudine (ABC/3TC), 120/60mg, pack of 30 dispersible tablets",ART,Bottle,0,0,10,86,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",ART,Bottle,0,0,10,39,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF5282,"Dolutegravir (DTG) dispersible, 10mg, pack of 90 dispersible tablets",ART / PEP,Bottle,0,0,0,33,-,0,-50
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF5022,"Dolutegravir (DTG), 50mg, pack of 30  tablets",ART / PEP,Bottle,0,0,0,56,-,0,-100
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF0812,"Nevirapine (NVP), 50mg/5ml, bottle of 100ml oral suspension",ART,Bottle,0,0,7,9,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",PrEP,Bottle,0,10,8,13,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",ART / PEP,Bottle,0,165,108,295,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",ART / PEP,Bottle,0,528,419,136,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF0230,"Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP), 60/30/50mg, pack of 60 dispersible tablets (2P)",ART,Bottle,0,0,0,6,-,30,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF5410,"Bioline HIV 1/2, Kit of 25 tests",HIV Test,Test,0,0,0,50,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",HIV Test,Test,0,600,450,0,-,0,-300
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",HIV Self-Test,Test,0,75,63,0,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",HIV Test,Test,0,0,0,40,-,0,20
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF5118,"Abacavir/Lamivudine (ABC/3TC), 120/60mg, pack of 30 dispersible tablets",ART,Bottle,0,0,0,84,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",ART,Bottle,0,0,12,96,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF5672,"Abacavir/Lamivudine/Dolutegravir, 60/30/5 mg pack of 180 tablets",ART,Bottle,0,90,45,467,-,0,557
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF5555,"Cabotegravir long Acting, 200mg/ml, 3ml.",PrEP,Vial,0,135,117,311,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF5282,"Dolutegravir (DTG) dispersible, 10mg, pack of 90 dispersible tablets",ART / PEP,Bottle,0,0,4,197,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF5022,"Dolutegravir (DTG), 50mg, pack of 30  tablets",ART / PEP,Bottle,0,50,85,318,-,0,-48
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF0812,"Nevirapine (NVP), 50mg/5ml, bottle of 100ml oral suspension",ART,Bottle,0,15,33,10,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",PrEP,Bottle,0,210,189,622,-,0,-154
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",ART / PEP,Bottle,0,188,228,"2,839",-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",ART / PEP,Bottle,0,960,"1,120","2,367",-,0,48
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF5278,"Tenofovir Disoproxil Fumarate/Lamivudine/Efavirenz (TDF/3TC /EFV), 300/300/400mg, pack of 30 tablets (5A)",ART,Bottle,0,0,0,30,-,0,30
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF0230,"Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP), 60/30/50mg, pack of 60 dispersible tablets (2P)",ART,Bottle,0,0,5,11,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF5410,"Bioline HIV 1/2, Kit of 25 tests",HIV Test,Test,0,25,25,100,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",HIV Test,Test,0,900,"2,145",0,-,18,900
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",HIV Self-Test,Test,0,750,650,"5,025",-,0,-300
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,TBA14,Pima thermal paper,HIV Monitorin,Roll,0,5,3,0,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",HIV Test,Test,0,40,58,20,-,8,20
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF5118,"Abacavir/Lamivudine (ABC/3TC), 120/60mg, pack of 30 dispersible tablets",ART,Bottle,0,0,2,8,-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",ART,Bottle,0,0,0,21,-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF5672,"Abacavir/Lamivudine/Dolutegravir, 60/30/5 mg pack of 180 tablets",ART,Bottle,0,0,6,34,-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF5282,"Dolutegravir (DTG) dispersible, 10mg, pack of 90 dispersible tablets",ART / PEP,Bottle,0,0,0,20,-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF5022,"Dolutegravir (DTG), 50mg, pack of 30  tablets",ART / PEP,Bottle,0,0,0,31,-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF0065,"Lopinavir / Ritonavir 200mg /50mg , pack of 120 tablets",ART,Bottle,0,0,0,"1,764",-,0,"1,764"
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF0812,"Nevirapine (NVP), 50mg/5ml, bottle of 100ml oral suspension",ART,Bottle,0,0,0,5,-,0,5
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",PrEP,Bottle,0,0,3,0,-,30,-69
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",ART / PEP,Bottle,0,5,11,65,-,0,-20
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",ART / PEP,Bottle,0,34,64,42,-,0,-46
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF0230,"Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP), 60/30/50mg, pack of 60 dispersible tablets (2P)",ART,Bottle,0,0,0,12,-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",HIV Test,Test,0,200,150,100,-,0,-100
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",HIV Self-Test,Test,0,250,225,850,-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",HIV Test,Test,0,0,0,20,-,0,20
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,GF5118,"Abacavir/Lamivudine (ABC/3TC), 120/60mg, pack of 30 dispersible tablets",ART,Bottle,0,0,0,20,-,0,0
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",ART,Bottle,0,0,0,45,-,0,0
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,GF5672,"Abacavir/Lamivudine/Dolutegravir, 60/30/5 mg pack of 180 tablets",ART,Bottle,0,48,24,70,-,0,118
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,GF5282,"Dolutegravir (DTG) dispersible, 10mg, pack of 90 dispersible tablets",ART / PEP,Bottle,0,0,2,40,-,0,0
