Period,Order Type,District,Facility Code,Facility Name,Facility Type,Facility Operator,Product Code,Product,Unit of Issue,Quantity Received,Quantity Issued,AMC,Closing balance (SOH),Requested Quantity,Total stockout days,Total losses and adjustments
01/08/2026,Normal,Lilongwe,LL1515,Kang'oma Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,4,30,-,0,-130
01/08/2026,Normal,Lilongwe,LL1515,Kang'oma Health Centre,Health Centre,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,4,74,-,0,74
01/08/2026,Normal,Lilongwe,LL1515,Kang'oma Health Centre,Health Centre,Government of Malawi,ST062500,Female Condoms,Piece,0,0,10,"7,970",-,0,0
01/08/2026,Normal,Lilongwe,LL1515,Kang'oma Health Centre,Health Centre,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,0,0,5,-,0,-69
01/08/2026,Normal,Lilongwe,LL1515,Kang'oma Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,30,51,92,-,0,72
01/08/2026,Normal,Lilongwe,LL1515,Kang'oma Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,0,0,50,-,21,50
01/08/2026,Normal,Lilongwe,LL1515,Kang'oma Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,12,17,73,-,0,0
01/08/2026,Normal,Lilongwe,LL1515,Kang'oma Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,"25,632","4,320","7,776","21,600",-,0,0
01/08/2026,Normal,Lilongwe,LL1515,Kang'oma Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,326,616,520,-,0,-300
01/08/2026,Normal,Lilongwe,LL1515,Kang'oma Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,800,"1,301",400,-,1,600
01/08/2026,Normal,Lilongwe,LL1515,Kang'oma Health Centre,Health Centre,Government of Malawi,FP000600,Oral Contraceptive Tablets - Levonogestrel Only 0.3mg (Microlut),Each,0,0,0,6,-,0,0
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,BB021301,"Dexamethasone Injection 5mg/2ml,2ml",Each,0,50,22,0,-,2,0
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,0,10,-,0,0
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,FP002401,"Hormonal Intrauterine device (H-IUD), 5 years e.g Lilleta",Each,0,0,0,3,-,0,0
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,0,0,7,-,0,0
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,20,17,60,-,0,0
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,0,7,20,-,0,0
