Period,Order Type,District,Facility Code,Facility Name,Facility Type,Facility Operator,Product Code,Product,Unit of Issue,Quantity Received,Quantity Issued,AMC,Closing balance (SOH),Requested Quantity,Total stockout days,Total losses and adjustments
01/08/2026,Normal,Ntchisi,NS1203,Kamsonga Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,"34,704","13,824","11,520","21,168",-,0,0
01/08/2026,Normal,Ntchisi,NS1203,Kamsonga Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,600,407,"2,646",-,0,"-4,000"
01/08/2026,Normal,Ntchisi,NS1203,Kamsonga Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,0,340,"1,168",-,0,"-1,200"
01/08/2026,Normal,Ntchisi,NS1203,Kamsonga Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,0,50,0,-,30,0
01/08/2026,Normal,Chitipa,CP0105,Kameme Health Centre,Health Centre,Government of Malawi,BB010800,"Calcium gluconate 10%, 10ml",Each,0,0,0,7,-,0,0
01/08/2026,Normal,Chitipa,CP0105,Kameme Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,10,4,65,-,0,-30
01/08/2026,Normal,Chitipa,CP0105,Kameme Health Centre,Health Centre,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,0,0,25,-,0,0
01/08/2026,Normal,Chitipa,CP0105,Kameme Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,16,15,34,-,0,5
01/08/2026,Normal,Chitipa,CP0105,Kameme Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,20,7,10,-,0,10
01/08/2026,Normal,Chitipa,CP0105,Kameme Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,2,2,14,-,0,0
01/08/2026,Normal,Chitipa,CP0105,Kameme Health Centre,Health Centre,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,20,7,53,-,0,0
